No,Kode Barang,Nama Barang,Re Order,Kategori,Sub Kategori,Satuan 1,Satuan 2,Satuan 3
382,110076,KOPI KAPAL API SPC 60GR,0,KOPI,KOPI,RTG,RTG,DOS
383,110077,KOPI KAPAL API SPC mini 6GR,0,KOPI,KOPI,RTG,LOS,DOS
384,110078,KOPI KAPAL API SPECIAL MIX,0,KOPI,KOPI,RTG,RTG,DOS
385,110079,KOPI KAPAL API SUSU,0,KOPI,KOPI,RTG,RTG,DOS
386,110080,KOPI TORABIKA CAPU,0,KOPI,KOPI,RTG,LOS,DOS
387,110081,KOPI TORABIKA CREAMY,0,KOPI,KOPI,RTG,RTG,DOS
388,110082,KOPI TORABIKA DUO,0,KOPI,KOPI,RTG,RTG,DOS
389,110083,KOPI TORABIKA JAHE,0,KOPI,KOPI,RTG,RTG,DOS
390,110084,KOPI TORABIKA MOKA,0,KOPI,KOPI,RTG,RTG,DOS
391,110085,KOPI TORABIKA SUSU,0,KOPI,KOPI,RTG,RTG,DOS
392,110086,KOPI TORABIKA CAFE MR / CAPP,0,KOPI,KOPI,RTG,RTG,DOS
393,110087,KOPI YA SP,0,KOPI,KOPI,RTG,RTG,DOS
394,110088,KOPI YA SUSU,0,KOPI,KOPI,RTG,RTG,DOS
395,110089,KRESEK 01*15 CJDW xxxx,0,KRESEK,KRESEK,BKS,BKS,IKT
396,110090,KRESEK 02*15 CJDW kecil,0,KRESEK,KRESEK,BKS,BKS,IKT
397,110091,KRESEK 02*21 xxxx,0,MISC,MISC,BKS,BKS,IKT
398,110092,KRESEK 02*24 CJDW 3kg,0,KRESEK,KRESEK,BKS,BKS,IKT
399,110093,KRESEK 02* xxxx,0,KRESEK,KRESEK,BKS,BKS,IKT
400,110094,KRESEK 02*28 CJDW xxxx,0,KRESEK,KRESEK,BKS,BKS,IKT
401,110095,KRESEK 03*28 CJWD 5kg,0,KRESEK,KRESEK,BKS,BKS,IKT
402,110096,KRESEK 03*35 CJDW xxxx,0,KRESEK,KRESEK,BKS,BKS,IKT
403,110097,KRESEK 04*40 CJDW besar,0,KRESEK,KRESEK,BKS,BKS,IKT
404,110098,KRESEK 04*40 MR CJDW besar,0,KRESEK,KRESEK,BKS,BKS,IKT
405,110099,KRUPUK PESTA,0,MISC,MISC,BAL,BAL,BAL
406,110100,KRUPUK TAHU UNYIL / DACIL,0,MISC,MISC,BAL,BAL,BAL
407,110101,KRUPUK UDANG Kelapa Gading Bungkus,0,KRUPUK,KRP,KG,KG,BAL
408,110102,KUKU BIMA,0,MISC,MISC,KTK,PRES,DOS
409,110103,KUXXXXXX,0,BUMBU,BUMBU,RTG,PRES,DOS
410,110104,KOPI NONGKRONG CUP,0,MINUMAN,MIN,DOS,DOS,DOS
411,110105,KXXX ANGGUR XXXX,0,JELLY,JELLY,PCS,KTK,DOS
412,110106,KXXX KELAPA XXXX,0,JELLY,JELLY,PCS,KTK,DOS
413,110107,KXXX LECI XXXX,0,JELLY,JELLY,PCS,KTK,DOS
414,110108,KXXX JERUK XXXX,0,JELLY,JELLY,PCS,KTK,DOS
415,110109,KXXX JAMBU XXXX,0,JELLY,JELLY,PCS,KTK,DOS
416,110110,KXXX MANGGA XXXX,0,JELLY,JELLY,PCS,KTK,DOS
417,110111,KXXX MELON XXXX,0,JELLY,JELLY,PCS,KTK,DOS
418,110112,KXXX STRAWBERRY XXXX,0,JELLY,JELLY,PCS,KTK,DOS
419,110113,KXXX SIRSAK XXXX,0,JELLY,JELLY,PCS,KTK,DOS
420,110114,KXXX COKLAT XXXX,0,JELLY,JELLY,PCS,KTK,DOS
421,110115,KECAP SEDAP HIJAU 60ML,0,,,BKS,BKS,DOS
422,110116,KANJI TANI KUNING 500gr,0,,,BKS,BKS,DOS
423,110117,KECAP SEDAP HIJAU SC 1000AN,0,,,RTG,RTG,DOS
424,110118,KECAP DELMIN K,0,,,ISI,ISI,BTL
425,110119,KECAP DELMIN B,0,,,ISI,ISI,BTL
426,110120,KECAP ASIN 350,0,,,BTL,BTL,DOS
427,110121,KOPI JALAK RENTENG 11GR,0,,,RTG,RTG,DOS
428,110122,KAXXXXXXXX,0,PALAWIJA,PLWJ,KG,KG,KG
429,110123,KOPI PIKOPI AREN,0,,,RTG,RTG,DOS
430,110124,KEJU WIN Cheese 2KG,0,,,SLOP,SLOP,DUS
431,110125,KOPI XXXX,0,,,RTG,RTG,DOS
432,110126,KOPI YA SP 120gr + gelas,0,,,BKS,LOS,DOS
433,110127,Kecap Sawi Rv k,0,,,PCS,PCS,DOS
434,110128,KECAP SAWI SC 1000an,0,,,RTG,RTG,DOS
435,120001,LADAKU 1000AN,0,BUMBU,BUMBU,RTG,PRES,DOS
436,120002,LAKBAN BESAR,0,MISC,MISC,PCS,PCS,PCS
437,120003,LAURIER MAXI ISI 8,0,PEMBALUT,PMBLT,BKS,IKT,DOS
438,120004,LAURIER SLIM RTG,0,PEMBALUT,PMBLT,RTG,RTG,DOS
439,120005,LIFREE POPOK L,0,MISC,MISC,RTG,RTG,DOS
440,120006,LIFREE POPOK M,0,MISC,MISC,RTG,RTG,DOS
441,120007,LIFREE POPOK XL,0,MISC,MISC,RTG,RTG,DOS
442,120008,LILIN POPULAR,0,MISC,MISC,PAK,LOS,DOS
443,120009,LUW AK xxxx ,0,KOPI,KOPI,RTG,RTG,DOS
444,120010,LKK BLACK PEPPER 230Gr,0,,,PCS,PCS,PCS
445,120011,LKK SAOS TIRAM 770Gr,0,,,PCS,PCS,DOS
446,120012,LUWAK WHITE ISI 12,0,,,RTG,RTG,DOS
447,120013,LUWAK MINI,0,,,RTG,RTG,DOS
448,120014,L________,0,,,PCS,PCS,PCS
449,120015,L________,0,,,PCS,PCS,PCS
450,120016,L________,0,,,PCS,PCS,PCS
451,120017,L________,0,,,PCS,PCS,PCS
452,120018,L________,0,,,PCS,PCS,PCS
453,120019,L________,0,,,PCS,PCS,PCS
454,130001,MADURASA,0,MINUMAN,MIN,KTK,KTK,DOS
455,130002,MAGIC LEZAT 10+1,0,BUMBU,BUMBU,RTG,LBR,DOS
456,130003,MAIZENA KTK HAWAI,0,TEPUNG,TEPUNG,KTK,KTK,DOS
457,130004,MAIZENA LOS,0,TEPUNG,TEPUNG,KG,LOS,ZAK
458,130005,MAMA KUAH BAKSO,0,BUMBU,BUMBU,RTG,PRES,DOS
459,130006,MAMA KUAH SOP,0,BUMBU,BUMBU,RTG,PRES,DOS
460,130007,MAMA LEMON RF 115ML,0,SABUN CAIR,SBNCR,BKS,LOS,DOS
461,130008,MAMA LEMON RF80ML,0,SABUN CAIR,SBNCR,BKS,LOS,DOS
462,130009,MAMA LEMON RV 800ML,0,SABUN CAIR,SBNCR,BKS,LOS,DOS
463,130010,MAMA xxxxxx,0,TEPUNG,TEPUNG,PRES,PRES,DOS
464,130011,MAMA TEPUNG BAKSO,0,TEPUNG,TEPUNG,RTG,RTG,DOS
465,130012,MAMY POKO M,0,PEMBALUT,PMBLT,RTG,RTG,DOS
466,130013,MAMY POKO L,0,PEMBALUT,PMBLT,RTG,RTG,DOS
467,130014,MAMY POKO S,0,PEMBALUT,PMBLT,RTG,RTG,DOS
468,130015,MAMY POKO XL,0,PEMBALUT,PMBLT,RTG,RTG,DOS
469,130016,MARJAN SIRUP,0,MINUMAN,MIN,BTL,BTL,DOS
470,130017,MASAKO 250GR,0,BUMBU,BUMBU,BKS,LOS,DOS
471,130018,MASAKO B. P500 AYM,0,MSG,MSG,RTG,LBR,DOS
472,130019,MASAKO B. P500 SP,0,MSG,MSG,RTG,LBR,DOS
473,130020,MERICA BUBUK SPC,0,PALAWIJA,PLWJ,ONS,KG,KG
474,130021,MERICA BUNDAR,0,PALAWIJA,PLWJ,ONS,KG,KG
475,130022,MERICA PELANGI,0,BUMBU,BUMBU,BKS,PRES,BAL
476,130023,MESES B9,0,BAHAN KUE,BHNK,ONS,KG,DOS
477,130024,MICIN LOS,0,PALAWIJA,PLWJ,ONS,KG,ZAK
478,130025,MIE DARA KERITING,0,MIE,MIE,BKS,BKS,DOS
479,130026,MIE DARA LEBAR,0,MIE,MIE,BAL,BAL,BAL
480,130027,MIE DARA PIPIH,0,MIE,MIE,BKS,BKS,DOS
481,130028,MIE GELUNG JANTAYU,0,MIE,MIE,PRES,PRES,PRES
482,130029,MIE INDOMIE AYM BWG,0,MIE,MIE,BKS,LOS,DOS
483,130030,MIE INDOMIE AYM SP,0,MIE,MIE,BKS,LOS,DOS
484,130031,MIE INDOMIE GR,0,MIE,MIE,BKS,LOS,DOS
485,130032,MIE INDOMIE KARE,0,MIE,MIE,BKS,LOS,DOS
486,130033,MIE INDOMIE KRIUK / ACEH / Geprek,0,MIE,MIE,BKS,LOS,DOS
487,130034,MIE INDOMIE RENDANG,0,MINYAK,MYK,BKS,LOS,DOS
488,130035,MIE INDOMIE SOTO/RAWON,0,MIE,MIE,BKS,LOS,DOS
489,130036,MIE INDOMIE SOTO SP,0,MIE,MIE,BKS,LOS,DOS
490,130037,MIE INDOMIE ST LMG / BLD,0,MIE,MIE,BKS,LOS,DOS
491,130038,MIE INTERMIE INDOMIE,0,MIE,MIE,BKS,LOS,DOS
492,130039,MIE xxxxxxxxxxxxxxxx JANTAYU 1KG ISI 10,0,MIE,MIE,PRES,PRES,PRES
493,130040,MIE JANTAYU GP,0,MIE,MIE,PRES,PRES,PRES
494,130041,MIE KENDURI HJ.,0,MIE,MIE,PRES,PRES,IKT
495,130042,MIE KENDURI OR.,0,MIE,MIE,PRES,PRES,IKT
496,130043,MIE KUDA MENJANGAN KL LEBAR,0,MIE,MIE,BAL,BAL,BAL
497,130044,MIE KUDA MENJANGAN L,0,MIE,MIE,BKS,LOS,DOS
498,130045,MIE KUDA MENJANGAN K,0,MIE,MIE,BKS,LOS,DOS
499,130046,MIE SEDAP CUP GR,0,MIE,MIE,BKS,BKS,DOS
500,130047,MIE SEDAP CUP KUAH,0,MIE,MIE,BKS,BKS,DOS
501,130048,MIE SEDAP GR,0,MIE,MIE,BKS,LOS,DOS
502,130049,MIE SEDAP GR Korea / devina,0,MIE,MIE,BKS,LOS,DOS
503,130050,MIE SEDAP KUAH SOTO,0,MIE,MIE,BKS,LOS,DOS
504,130051,MIE SEDAP KUAH KARE SPC,0,MIE,MIE,BKS,LOS,DOS
505,130052,MIE SEDAP KUAH AYAM BWG,0,MIE,MIE,BKS,LOS,DOS
506,130053,MIE SEDAP KUAH Lain,0,MIE,MIE,BKS,LOS,DOS
507,130054,MIE SUKSES GR KECAP / RD / ACEH,0,MIE,MIE,BKS,LOS,DOS
