,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
No,Kode Barang,Nama Barang,Re Order,Kategori,Sub Kategori,Satuan 1,Satuan 2,Satuan 3,Satuan 4,Konversi 1,Konversi 2,Konversi 3,Konversi 4,Satuan Beli,Satuan Jual,Default Qty Jual,PPN,Keterangan,HJ 1 - Satuan 1,HJ 2 - Satuan 1,HJ 3 - Satuan 1,HJ 1- Satuan 2,HJ 2- Satuan 2,HJ 3- Satuan 2,HJ 1 - Satuan 3,HJ 2 - Satuan 3,HJ 3 - Satuan 3,HJ 1 - Satuan 4,HJ 2 - Satuan 4,HJ 3 - Satuan 4,Harga Perolehan,Harga Beli
53,20011,BAWANG BOMBAY,0,PALAWIJA,PALAWIJA,KG,KG,ZAK,,1,1,20,0,3,1,0,0,,38000,0,0,35000,0,0,530000,0,0,0,0,0,159803.87,23000
54,20012,BAWANG KATING,0,PALAWIJA,PALAWIJA,ONS,LOS,KG,,1,10,10,0,3,3,0,0,,4500,0,0,32000,0,0,33000,0,0,0,0,0,83.86,2550
55,20013,BAYGON BAKAR K,0,MISC,MISC,KTK,KTK,DOS,,1,1,60,0,3,1,0,0,,3000,0,0,3000,0,0,180000,0,0,0,0,0,2649.81,2651.67
56,20014,BAYGON BAKAR LAVENDER,0,MISC,MISC,KTK,KTK,DOS,,1,1,60,0,3,1,0,0,,4250,0,0,4250,0,0,235000,0,0,0,0,0,3533.28,3533.33
57,20015,BEAR BRAND,0,SUSU,SUSU,KLG,KLG,DOS,,1,1,30,0,3,1,0,0,,10500,0,0,10250,0,0,290000,0,0,0,0,0,9537.54,9530
58,20016,BENDERA CKLT SC. xxx,0,SUSU,SUSU,PRES,PRES,DOS,,1,1,20,0,3,1,0,0,,7200,0,0,7200,0,0,140000,0,0,0,0,0,0,0
59,20017,BENDERA KLG CKLT xxx,0,SUSU,SUSU,KLG,KLG,DOS,,1,1,48,0,3,1,0,0,,9350,0,0,9350,0,0,430000,0,0,0,0,0,0,0
60,20018,BENDERA KLG PTH xxx,0,SUSU,SUSU,KLG,KLG,DOS,,1,1,48,0,3,1,0,0,,9400,0,0,9600,0,0,440000,0,0,0,0,0,0,0
61,20019,BENDERA PTH SC. xxx,0,SUSU,SUSU,PRES,PRES,DOS,,1,1,20,0,3,1,0,0,,7500,0,0,7500,0,0,145000,0,0,0,0,0,0,0
62,20020,BENDERA SKM POUCH 200ML xxx,0,SUSU,SUSU,PCS,PCS,DOS,,1,1,24,0,3,1,0,0,,9500,0,0,9500,0,0,210000,0,0,0,0,0,0,0
63,20021,BENDERA SKM POUCH 560ML xxx,0,SUSU,SUSU,PCS,PCS,DOS,,1,1,24,0,3,1,0,0,,16000,0,0,16000,0,0,355000,0,0,0,0,0,0,0
64,20022,B CHOCODRINK CHOCOlatos WING 2+1,0,MINUMAN,MINUMAN,RTG,RTG,DOS,,1,1,8,0,3,1,0,0,,20000,0,0,20000,0,0,151000,0,0,0,0,0,15717.91,17560.88
65,20023,BENZOAT,0,MISC,BAHAN KUE,Ons,KG,KG,,1,1,10,0,3,1,0,0,,9000,0,0,80000,0,0,80000,0,0,0,0,0,0,0
66,20024,BERAS 10KG BINTANG BIRU,0,MISC,BERAS,BKS,BKS,BKS,,1,1,1,0,1,1,0,0,,152000,0,0,152000,0,0,0,0,0,0,0,0,148000,148000
67,20025,BERAS 10KG LAHAP,0,MISC,BERAS,ZAK,ZAK,ZAK,,1,1,1,0,1,1,0,0,,152000,0,0,151000,0,0,0,0,0,0,0,0,147980.3,148000
68,20026,BERAS 10KG MELON SUPER,0,MISC,BERAS,BKS,BKS,BKS,,1,1,1,0,1,1,0,0,,148000,0,0,147500,0,0,0,0,0,0,0,0,144998.97,145000
69,20027,BE XXXXXXXXX,0,,,BKS,BKS,BKS,,1,1,10,0,1,1,0,0,,140000,0,0,0,0,0,0,0,0,0,0,0,140250,140250
70,20028,BERAS 10 KG LOMBOK,0,MISC,BERAS,BKS,BKS,BKS,,1,1,1,0,1,1,0,0,,154000,0,0,152000,0,0,0,0,0,0,0,0,148954.55,149500
71,20029,BERAS 10 KG ________,0,MISC,BERAS,BKS,BKS,BKS,,1,1,10,0,3,1,0,0,,96000,0,0,96000,0,0,96000,0,0,0,0,0,0,0
72,20030,BERAS 5KG BINTANG BIRU,0,MISC,BERAS,BKS,LOS,ZAK,,1,1,5,0,3,1,0,0,,77500,0,0,77000,0,0,382500,0,0,0,0,0,74000,74000
73,20031,BERAS 5KG LAHAP,0,MISC,BERAS,BKS,LOS,BKS,,1,1,1,0,1,1,0,0,,76500,0,0,76000,0,0,0,0,0,0,0,0,74250.31,74250
74,20032,BERAS 5KG MELON,0,MISC,BERAS,BKS,LOS,BKS,,1,1,1,0,1,1,0,0,,76000,0,0,75500,0,0,0,0,0,0,0,0,73761.44,73750
75,20033,BERAS 5KG MENTARI,0,MISC,BERAS,BKS,LOS,BKS,,1,1,1,0,1,1,0,0,,77000,0,0,76000,0,0,0,0,0,0,0,0,74494.73,74500
76,20034,BERAS 5KG madinah xxx,0,MISC,BERAS,BKS,LOS,BKS,,1,1,1,0,1,1,0,0,,77000,0,0,76500,0,0,0,0,0,0,0,0,73500,73500
77,20035,BERAS 5KG SPHP,0,MISC,BERAS,BKS,BKS,ZAK,,1,1,5,0,1,1,0,0,,61000,0,0,60000,0,0,0,0,0,0,0,0,57000,57000
78,20036,BERAS 5KG kecombrang,0,MISC,BERAS,BKS,BKS,ZAK,,1,1,5,0,1,1,0,0,,69000,0,0,68500,0,0,0,0,0,0,0,0,66308.64,66500
79,20037,BERAS 25KG BINTANG BIRU,0,MISC,BERAS,KG,KG,ZAK,,1,1,25,0,3,3,0,0,,0,0,0,0,0,0,382500,0,0,0,0,0,14845.45,14850
80,20038,BERAS 25KG PAK TANI,0,MISC,BERAS,ZAK,ZAK,ZAK,,1,1,1,0,3,3,0,0,,1,0,0,1,0,0,345000,0,0,0,0,0,336250,336250
81,20039,BERAS JAGUNG,0,MISC,BERAS,KG,LOS,ZAK,,1,1,25,0,3,1,0,0,,9500,0,0,9000,0,0,217500,0,0,0,0,0,8300.82,8300
82,20040,BERAS 25KG KEONG MAS,0,MISC,BERAS,KG,KG,ZAK,,1,1,25,0,3,3,0,0,,0,0,0,0,0,0,345000,0,0,0,0,0,13400.34,13400
83,20041,BERAS 25KG MANALAGI,0,MISC,BERAS,KG,KG,ZAK,,1,1,25,0,3,3,0,0,,14500,0,0,14500,0,0,352500,0,0,0,0,0,13405.26,13400
84,20042,BERAS 25KG MELON SUPER,0,MISC,BERAS,KG,KG,ZAK,,1,1,25,0,3,3,0,0,,0,0,0,0,0,0,370000,0,0,0,0,0,14395.88,14400
85,20043,BERAS 25KG MENTARI,0,MISC,BERAS,KG,KG,ZAK,,1,1,25,0,3,3,0,0,,1,0,0,1,0,0,375000,0,0,0,0,0,14549.98,14650
86,20044,BERAS 25KG anak tani,0,MISC,BERAS,KG,KG,ZAK,,1,1,25,0,3,3,0,0,,13500,0,0,13500,0,0,332500,0,0,0,0,0,-17032.92,13100
