Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
212,050014 - E________,0,PCS,,,
213,060001 - FLORIDINA xxx,94,BTL,,,
214,060002 - FRAMBOZEN LAYAR xxx,0,BTL,,,
215,060003 - FRAMBOZEN LONCENG xxx,0,BTL,,,
216,060004 - F________,0,PCS,,,
217,060005 - F________,0,PCS,,,
218,060006 - F________,0,PCS,,,
219,060007 - F________,0,PCS,,,
220,060008 - F________,0,PCS,,,
221,070021 - G 1 xxxx,0,RTG,,,
222,070024 - G xxx,0,RTG,,,
223,070022 - G xxxx,0,RTG,,,
224,070023 - G xxxx,0,RTG,,,
225,070001 - GARAM GRASAK,1,PRES,,,
226,070002 - GARAM GRASAK LOS,221.4,KG,,,
227,070003 - GARAM KAPAL 250 GR,3578,BKS,,,
228,070040 - GARAM Kotak Bata,107,PCS,,,
229,070004 - GARAM Kotak cap Anak,57,PRES,,,
230,070045 - GARAM PASAR RAME,1603,BKS,,,
231,070005 - GERIT xxx,0,PCS,,,
232,070006 - GLICO 1K WAKU CKLT/STR 35ML,9961,PCS,,,
233,070007 - GLICO 2K WAKU CKLT 50ML,47592,PCS,,,
234,070008 - GLICO 3K JCONE JUNIOR 40ML,9977,PCS,,,
235,070009 - GLICO 3K Mochi,9866,PCS,,,
236,070010 - GLICO 3K WAKU CKLT 60ML,99924,PCS,,,
237,070011 - GLICO 4K FROSTBITE CUP 90ML,9928,PCS,,,
238,070012 - GLICO 4K FROSTBITE PARI 60ML,99945,PCS,,,
239,070013 - GLICO 5K FROSTBITE VANILA 65ML,9821,PCS,,,
240,070014 - GLICO 5K HAKU MONAKA,9869,PCS,,,
241,070015 - GLICO 5K JCONE PARI 120ML,9969,PCS,,,
242,070016 - GLICO 5K WAKU Ikan,17,PCS,,,
243,070017 - GOLDA,0,BTL,,,
244,070018 - GOLOK SOHUN BESAR,381,BKS,,,
245,127000 - GOLOK SOHUN KECIL,138,PRES,,,
246,070043 - GOOD DAY Br,58,RTG,,,
247,070020 - GOOD DAY CAPPUCINO,158,RTG,,,
248,070042 - GOOD DAY Cklt,13,RTG,,,
249,070049 - GOOD DAY COOLIN,22,RTG,,,
250,110166 - GOOD DAY FREEZE,72,RTG,,,
251,070044 - GOOD DAY LATTE ORI / BUTTER,26,RTG,,,
252,070039 - GOOD DAY Mr ,208,RTG,,,
253,070048 - GOOD DAY VANILLA,6,RTG,,,
254,070037 - GULA CAIR JURIGEN xxx,0,JRG,,,
255,070025 - GULA DONAT,25,KG,,,
25/05/2026 15:20:20,,,,Halaman ke 5 dari 22,,
Daftar Barang,,,,,,
,,,,,,
No,Nama,Qty,Satuan,,,
256,070026 - GULA HALUS ROSE / Legi,746,BKS,,,
257,070027 - GULA KBA,434240,KG,,,
,,0,,,,
258,070038 - GULA KBA KEMASAN 1KG,103,KG,,,
259,070028 - GULA KBB,334000,KG,,,
260,070030 - GULA MERAH,2367.25,ONS,,,
261,070031 - GULA MERAH SUPER,153.5,KG,,,
262,070047 - GULA MERAH TEBU 10kg xxx,0,KG,,,
263,070041 - GULA Mxxxxx,0,KG,,,
264,070032 - GULA PALM SUGAR,542,ONS,,,
265,070033 - GULA PASIR 1 KG,966610,KG,,,
,,4,,,,
266,070034 - GULA PASIR LOS,988909,KG,,,
,,5,,,,
267,070029 - GULA RMI biru,50000,KG,,,
268,070035 - GULA ROSE 1 KG,19666.5,KG,,,
269,070036 - GULAKU 1KG,239974,BKS,,,
270,070046 - G________,0,PCS,,,
271,080001 - HAND BODY SIDIA,20,PRES,,,
272,080002 - HANSAPLAST ISI 100,112,KTK,,,
273,080004 - HAPPILY L,7,RTG,,,
274,080005 - HAPPILY M,22,RTG,,,
275,080006 - HAPPILY XL,6,RTG,,,
276,080003 - HERS xxx,0,BKS,,,
277,080007 - H________,0,PCS,,,
278,080008 - H________,0,PCS,,,
279,080009 - H________,0,PCS,,,
280,080010 - H________,0,PCS,,,
281,080011 - H________,0,PCS,,,
282,080012 - H________,0,PCS,,,
283,080013 - H________,0,PCS,,,
284,090001 - INDOMILK CKLT KLG,49,KLG,,,
285,090002 - INDOMILK CKLT SC,87,PRES,,,
286,090003 - INDOMILK PTH KLG,59,KLG,,,
287,090004 - INDOMILK PTH SC,1283,PRES,,,
288,090005 - ISOPLUS xxx,0,DOS,,,
289,090006 - I________,0,PCS,,,
290,090007 - I________,0,PCS,,,
291,090008 - I________,0,PCS,,,
